,video fn,first,last,gesture,consistency,,
0,P016_balloon1,0,29,G0,1,,29
1,P016_balloon1,30,59,G0,1,,29
2,P016_balloon1,60,89,G0,1,,29
3,P016_balloon1,90,119,G0,1,,29
4,P016_balloon1,120,149,G0,1,,29
5,P016_balloon1,150,179,G0,1,,29
6,P016_balloon1,180,209,G0,1,,29
7,P016_balloon1,210,239,G0,1,,29
8,P016_balloon1,240,269,G0,1,,29
9,P016_balloon1,270,299,G0,1,,29
10,P016_balloon1,300,329,G0,1,,29
11,P016_balloon1,330,359,G0,1,,29
12,P016_balloon1,360,389,G0,1,,29
13,P016_balloon1,390,419,G0,1,,29
14,P016_balloon1,420,449,G0,1,,29
15,P016_balloon1,450,479,G0,1,,29
16,P016_balloon1,480,509,G0,1,,29
17,P016_balloon1,525,554,G1,1,,29
18,P016_balloon1,555,584,G1,1,,29
19,P016_balloon1,585,614,G1,1,,29
20,P016_balloon1,615,644,G1,1,,29
21,P016_balloon1,663,692,G2,1,,29
22,P016_balloon1,693,722,G2,1,,29
23,P016_balloon1,723,752,G2,1,,29
24,P016_balloon1,753,782,G2,1,,29
25,P016_balloon1,809,838,G3,1,,29
26,P016_balloon1,839,868,G3,1,,29
27,P016_balloon1,869,898,G3,1,,29
28,P016_balloon1,899,928,G4,1,,29
29,P016_balloon1,929,958,G4,1,,29
30,P016_balloon1,971,1000,G3,1,,29
31,P016_balloon1,1001,1030,G3,1,,29
32,P016_balloon1,1046,1075,G4,1,,29
33,P016_balloon1,1103,1132,G3,1,,29
34,P016_balloon1,1154,1183,G4,1,,29
35,P016_balloon1,1199,1228,G3,1,,29
36,P016_balloon1,1229,1258,G3,1,,29
37,P016_balloon1,1259,1288,G3,1,,29
38,P016_balloon1,1289,1318,G4,1,,29
39,P016_balloon1,1340,1369,G0,1,,29
40,P016_balloon1,1370,1399,G0,1,,29
41,P016_balloon1,1400,1429,G0,1,,29
42,P016_balloon1,1436,1465,G5,1,,29
43,P016_balloon1,1475,1504,G0,1,,29
44,P016_balloon1,1505,1534,G0,1,,29
45,P016_balloon1,1535,1564,G0,1,,29
46,P016_balloon1,1565,1594,G0,1,,29
47,P016_balloon1,1595,1624,G0,1,,29
48,P016_balloon1,1625,1654,G0,1,,29
49,P016_balloon1,1655,1684,G0,1,,29
50,P016_balloon1,1714,1743,G1,1,,29
51,P016_balloon1,1744,1773,G1,1,,29
52,P016_balloon1,1774,1803,G1,1,,29
53,P016_balloon1,1804,1833,G1,1,,29
54,P016_balloon1,1834,1863,G1,1,,29
55,P016_balloon1,1864,1893,G1,1,,29
56,P016_balloon1,1894,1923,G1,1,,29
57,P016_balloon1,1924,1953,G1,1,,29
58,P016_balloon1,1954,1983,G1,1,,29
59,P016_balloon1,1984,2013,G1,1,,29
60,P016_balloon1,2014,2043,G1,1,,29
61,P016_balloon1,2053,2082,G2,1,,29
62,P016_balloon1,2083,2112,G2,1,,29
63,P016_balloon1,2113,2142,G2,1,,29
64,P016_balloon1,2143,2172,G2,1,,29
65,P016_balloon1,2200,2229,G3,1,,29
66,P016_balloon1,2230,2259,G3,1,,29
67,P016_balloon1,2266,2295,G4,1,,29
68,P016_balloon1,2296,2325,G4,1,,29
69,P016_balloon1,2329,2358,G3,1,,29
70,P016_balloon1,2359,2388,G3,1,,29
71,P016_balloon1,2389,2418,G3,1,,29
72,P016_balloon1,2419,2448,G3,1,,29
73,P016_balloon1,2449,2478,G3,1,,29
74,P016_balloon1,2497,2526,G4,1,,29
75,P016_balloon1,2527,2556,G4,1,,29
76,P016_balloon1,2578,2607,G3,1,,29
77,P016_balloon1,2608,2637,G3,1,,29
78,P016_balloon1,2662,2691,G4,1,,29
79,P016_balloon1,2701,2730,G3,1,,29
80,P016_balloon1,2755,2784,G4,1,,29
81,P016_balloon1,2812,2841,G0,1,,29
82,P016_balloon1,2842,2871,G0,1,,29
83,P016_balloon1,2896,2925,G0,1,,29
84,P016_balloon1,2926,2955,G0,1,,29
85,P016_balloon1,2956,2985,G0,1,,29
86,P016_balloon1,2986,3015,G0,1,,29
87,P016_balloon1,3016,3045,G0,1,,29
88,P016_balloon1,3046,3075,G0,1,,29
89,P016_balloon1,3076,3105,G0,1,,29
90,P016_balloon1,3106,3135,G0,1,,29
91,P016_balloon1,3148,3177,G1,1,,29
92,P016_balloon1,3178,3207,G1,1,,29
93,P016_balloon1,3208,3237,G1,1,,29
94,P016_balloon1,3238,3267,G1,1,,29
95,P016_balloon1,3268,3297,G1,1,,29
96,P016_balloon1,3298,3327,G1,1,,29
97,P016_balloon1,3349,3378,G2,1,,29
98,P016_balloon1,3379,3408,G2,1,,29
99,P016_balloon1,3409,3438,G2,1,,29
100,P016_balloon1,3448,3477,G3,1,,29
101,P016_balloon1,3478,3507,G3,1,,29
102,P016_balloon1,3514,3543,G4,1,,29
103,P016_balloon1,3571,3600,G3,1,,29
104,P016_balloon1,3601,3630,G3,1,,29
105,P016_balloon1,3631,3660,G3,1,,29
106,P016_balloon1,3663,3692,G4,1,,29
107,P016_balloon1,3693,3722,G4,1,,29
108,P016_balloon1,3727,3756,G3,1,,29
109,P016_balloon1,3781,3810,G4,1,,29
110,P016_balloon1,3825,3854,G3,1,,29
111,P016_balloon1,3865,3894,G4,1,,29
112,P016_balloon1,3895,3924,G4,1,,29
113,P016_balloon1,3925,3954,G4,1,,29
114,P016_balloon1,3963,3992,G3,1,,29
115,P016_balloon1,4011,4040,G4,1,,29
116,P016_balloon1,4053,4082,G0,1,,29
117,P016_balloon1,4083,4112,G0,1,,29
118,P016_balloon1,4149,4178,G0,1,,29
119,P016_balloon1,4179,4208,G0,1,,29
120,P016_balloon1,4209,4238,G0,1,,29
121,P016_balloon1,4239,4268,G0,1,,29
122,P016_balloon1,4269,4298,G0,1,,29
123,P016_balloon1,4299,4328,G0,1,,29
124,P016_balloon1,4329,4358,G0,1,,29
125,P016_balloon1,4359,4388,G0,1,,29
126,P016_balloon1,4389,4418,G0,1,,29
0,P016_balloon2,0,29,G0,1,,29
1,P016_balloon2,30,59,G0,1,,29
2,P016_balloon2,60,89,G0,1,,29
3,P016_balloon2,90,119,G0,1,,29
4,P016_balloon2,120,149,G0,1,,29
5,P016_balloon2,150,179,G0,1,,29
6,P016_balloon2,180,209,G0,1,,29
7,P016_balloon2,210,239,G0,1,,29
8,P016_balloon2,240,269,G0,1,,29
9,P016_balloon2,270,299,G0,1,,29
10,P016_balloon2,300,329,G0,1,,29
11,P016_balloon2,330,359,G0,1,,29
12,P016_balloon2,360,389,G0,1,,29
13,P016_balloon2,410,439,G1,1,,29
14,P016_balloon2,440,469,G1,1,,29
15,P016_balloon2,470,499,G1,1,,29
16,P016_balloon2,528,557,G2,1,,29
17,P016_balloon2,582,611,G3,1,,29
18,P016_balloon2,612,641,G3,1,,29
19,P016_balloon2,642,671,G3,1,,29
20,P016_balloon2,672,701,G3,1,,29
21,P016_balloon2,702,731,G3,1,,29
22,P016_balloon2,744,773,G4,1,,29
23,P016_balloon2,774,803,G4,1,,29
24,P016_balloon2,819,848,G3,1,,29
25,P016_balloon2,849,878,G3,1,,29
26,P016_balloon2,879,908,G4,1,,29
27,P016_balloon2,930,959,G3,1,,29
28,P016_balloon2,960,989,G3,1,,29
29,P016_balloon2,1017,1046,G4,1,,29
30,P016_balloon2,1062,1091,G3,1,,29
31,P016_balloon2,1092,1121,G3,1,,29
32,P016_balloon2,1122,1151,G4,1,,29
33,P016_balloon2,1176,1205,G0,1,,29
34,P016_balloon2,1216,1245,G5,1,,29
35,P016_balloon2,1271,1300,G0,1,,29
36,P016_balloon2,1301,1330,G0,1,,29
37,P016_balloon2,1331,1360,G0,1,,29
38,P016_balloon2,1361,1390,G0,1,,29
39,P016_balloon2,1391,1420,G0,1,,29
40,P016_balloon2,1421,1450,G0,1,,29
41,P016_balloon2,1451,1480,G0,1,,29
42,P016_balloon2,1505,1534,G1,1,,29
43,P016_balloon2,1535,1564,G1,1,,29
44,P016_balloon2,1565,1594,G1,1,,29
45,P016_balloon2,1595,1624,G1,1,,29
46,P016_balloon2,1625,1654,G1,1,,29
47,P016_balloon2,1655,1684,G1,1,,29
48,P016_balloon2,1694,1723,G2,1,,29
49,P016_balloon2,1724,1753,G2,1,,29
50,P016_balloon2,1754,1783,G2,1,,29
51,P016_balloon2,1784,1813,G2,1,,29
52,P016_balloon2,1820,1849,G3,1,,29
53,P016_balloon2,1874,1903,G4,1,,29
54,P016_balloon2,1904,1933,G4,1,,29
55,P016_balloon2,1943,1972,G3,1,,29
56,P016_balloon2,1991,2020,G4,1,,29
57,P016_balloon2,2039,2068,G3,1,,29
58,P016_balloon2,2087,2116,G4,1,,29
59,P016_balloon2,2126,2155,G3,1,,29
60,P016_balloon2,2177,2206,G4,1,,29
61,P016_balloon2,2213,2242,G3,1,,29
62,P016_balloon2,2255,2284,G4,1,,29
63,P016_balloon2,2285,2314,G4,1,,29
64,P016_balloon2,2327,2356,G0,1,,29
65,P016_balloon2,2357,2386,G0,1,,29
66,P016_balloon2,2387,2416,G0,1,,29
67,P016_balloon2,2417,2446,G0,1,,29
68,P016_balloon2,2468,2497,G5,1,,29
69,P016_balloon2,2498,2527,G5,1,,29
70,P016_balloon2,2528,2557,G0,1,,29
71,P016_balloon2,2558,2587,G0,1,,29
72,P016_balloon2,2588,2617,G0,1,,29
73,P016_balloon2,2642,2671,G1,1,,29
74,P016_balloon2,2672,2701,G1,1,,29
75,P016_balloon2,2702,2731,G1,1,,29
76,P016_balloon2,2732,2761,G1,1,,29
77,P016_balloon2,2762,2791,G1,1,,29
78,P016_balloon2,2792,2821,G1,1,,29
79,P016_balloon2,2822,2851,G1,1,,29
80,P016_balloon2,2852,2881,G1,1,,29
81,P016_balloon2,2882,2911,G1,1,,29
82,P016_balloon2,2921,2950,G2,1,,29
83,P016_balloon2,2951,2980,G2,1,,29
84,P016_balloon2,2981,3010,G2,1,,29
85,P016_balloon2,3011,3040,G3,1,,29
86,P016_balloon2,3061,3090,G3,1,,29
87,P016_balloon2,3091,3120,G3,1,,29
88,P016_balloon2,3145,3174,G3,1,,29
89,P016_balloon2,3175,3204,G3,1,,29
90,P016_balloon2,3205,3234,G3,1,,29
91,P016_balloon2,3242,3271,G4,1,,29
92,P016_balloon2,3272,3301,G4,1,,29
93,P016_balloon2,3302,3331,G4,1,,29
94,P016_balloon2,3356,3385,G3,1,,29
95,P016_balloon2,3386,3415,G3,1,,29
96,P016_balloon2,3416,3445,G3,1,,29
97,P016_balloon2,3455,3484,G4,1,,29
98,P016_balloon2,3491,3520,G3,1,,29
99,P016_balloon2,3521,3550,G3,1,,29
100,P016_balloon2,3551,3580,G4,1,,29
101,P016_balloon2,3584,3613,G3,1,,29
102,P016_balloon2,3614,3643,G3,1,,29
103,P016_balloon2,3644,3673,G3,1,,29
104,P016_balloon2,3692,3721,G4,1,,29
105,P016_balloon2,3740,3769,G0,1,,29
106,P016_balloon2,3785,3814,G5,1,,29
107,P016_balloon2,3827,3856,G0,1,,29
108,P016_balloon2,3857,3886,G0,1,,29
0,P016_tissue1,0,29,G0,1,,29
1,P016_tissue1,30,59,G0,1,,29
2,P016_tissue1,60,89,G0,1,,29
3,P016_tissue1,90,119,G0,1,,29
4,P016_tissue1,120,149,G0,1,,29
5,P016_tissue1,150,179,G0,1,,29
6,P016_tissue1,180,209,G0,1,,29
7,P016_tissue1,210,239,G0,1,,29
8,P016_tissue1,240,269,G0,1,,29
9,P016_tissue1,297,326,G1,1,,29
10,P016_tissue1,327,356,G1,1,,29
11,P016_tissue1,357,386,G1,1,,29
12,P016_tissue1,387,416,G1,1,,29
13,P016_tissue1,417,446,G1,1,,29
14,P016_tissue1,447,476,G1,1,,29
15,P016_tissue1,477,506,G1,1,,29
16,P016_tissue1,510,539,G2,1,,29
17,P016_tissue1,540,569,G2,1,,29
18,P016_tissue1,570,599,G2,1,,29
19,P016_tissue1,600,629,G0,1,,29
20,P016_tissue1,630,659,G0,1,,29
21,P016_tissue1,660,689,G0,1,,29
22,P016_tissue1,690,719,G0,1,,29
23,P016_tissue1,729,758,G1,1,,29
24,P016_tissue1,759,788,G1,1,,29
25,P016_tissue1,789,818,G1,1,,29
26,P016_tissue1,819,848,G1,1,,29
27,P016_tissue1,849,878,G1,1,,29
28,P016_tissue1,879,908,G1,1,,29
29,P016_tissue1,909,938,G1,1,,29
30,P016_tissue1,954,983,G2,1,,29
31,P016_tissue1,984,1013,G2,1,,29
32,P016_tissue1,1014,1043,G2,1,,29
33,P016_tissue1,1044,1073,G2,1,,29
34,P016_tissue1,1092,1121,G0,1,,29
35,P016_tissue1,1122,1151,G0,1,,29
36,P016_tissue1,1152,1181,G0,1,,29
37,P016_tissue1,1182,1211,G0,1,,29
38,P016_tissue1,1212,1241,G0,1,,29
39,P016_tissue1,1242,1271,G0,1,,29
40,P016_tissue1,1272,1301,G0,1,,29
41,P016_tissue1,1302,1331,G0,1,,29
42,P016_tissue1,1332,1361,G0,1,,29
43,P016_tissue1,1362,1391,G0,1,,29
44,P016_tissue1,1392,1421,G0,1,,29
45,P016_tissue1,1422,1451,G0,1,,29
46,P016_tissue1,1452,1481,G0,1,,29
47,P016_tissue1,1482,1511,G0,1,,29
48,P016_tissue1,1512,1541,G1,1,,29
49,P016_tissue1,1542,1571,G1,1,,29
50,P016_tissue1,1572,1601,G1,1,,29
51,P016_tissue1,1602,1631,G1,1,,29
52,P016_tissue1,1632,1661,G1,1,,29
53,P016_tissue1,1662,1691,G1,1,,29
54,P016_tissue1,1716,1745,G2,1,,29
55,P016_tissue1,1746,1775,G2,1,,29
56,P016_tissue1,1791,1820,G3,1,,29
57,P016_tissue1,1821,1850,G3,1,,29
58,P016_tissue1,1851,1880,G3,1,,29
59,P016_tissue1,1881,1910,G3,1,,29
60,P016_tissue1,1911,1940,G3,1,,29
61,P016_tissue1,1941,1970,G3,1,,29
62,P016_tissue1,1971,2000,G3,1,,29
63,P016_tissue1,2019,2048,G4,1,,29
64,P016_tissue1,2049,2078,G4,1,,29
65,P016_tissue1,2079,2108,G4,1,,29
66,P016_tissue1,2109,2138,G4,1,,29
67,P016_tissue1,2139,2168,G4,1,,29
68,P016_tissue1,2169,2198,G4,1,,29
69,P016_tissue1,2199,2228,G4,1,,29
70,P016_tissue1,2229,2258,G4,1,,29
71,P016_tissue1,2259,2288,G4,1,,29
72,P016_tissue1,2301,2330,G3,1,,29
73,P016_tissue1,2331,2360,G3,1,,29
74,P016_tissue1,2361,2390,G3,1,,29
